class	score
0	-0.431561661
0	-0.431748573
0	-0.433407346
0	-0.435866689
0	-0.436212155
0	-0.43735218
0	-0.438790707
0	-0.440819046
0	-0.442454808
0	-0.443248618
0	-0.443252831
0	-0.445672364
0	-0.449609845
0	-0.449702087
0	-0.455408578
0	-0.455679579
0	-0.455751112
0	-0.458271362
0	-0.461416781
0	-0.463752746
0	-0.468555731
0	-0.469710511
0	-0.475704295
0	-0.478655239
0	-0.478916333
0	-0.481186773
0	-0.482024232
0	-0.482566804
0	-0.484891354
0	-0.486940805
0	-0.488863444
0	-0.491069459
0	-0.491941135
0	-0.496265724
0	-0.498511979
0	-0.498804556
0	-0.510658581
0	-0.512268328
0	-0.518351283
0	-0.519203145
0	-0.51955471
0	-0.523095548
0	-0.523738991
0	-0.525009206
0	-0.527267294
0	-0.527578991
0	-0.529502248
0	-0.532015216
0	-0.535780869
0	-0.540265189
0	-0.556413005
0	-0.557614737
0	-0.563070617
0	-0.5662578
0	-0.580234281
0	-0.583343396
0	-0.594229689
0	-0.613949538
0	-0.619307334
0	-0.622120614
0	-0.626014684
0	-0.639400651
0	-0.644306804
0	-0.714299385
0	-0.715936815
0	-0.794235333
0	-0.824305476
0	-0.831153243
0	-0.846257775
0	-0.939445557
